id,carat,cut,color,clarity,x,y,z,depth,table,price
20246,1.31,Ideal,H,VS1,7.02,7.05,4.33,61.5,55.0,8429
20247,0.7,Premium,E,VS1,5.7,5.74,3.45,60.3,58.0,2930
20248,0.72,Very Good,G,SI1,5.69,5.74,3.59,62.8,59.0,2265
20249,1.54,Very Good,F,SI2,7.36,7.47,4.53,61.1,58.0,8893
20250,0.73,Premium,F,SI2,5.95,5.91,3.46,58.3,58.0,2393
20251,0.91,Very Good,E,SI2,6.26,6.34,3.81,60.5,59.0,3986
20252,0.42,Very Good,D,VVS2,4.73,4.76,2.98,62.8,59.0,1185
20253,0.71,Ideal,E,SI1,5.75,5.77,3.52,61.1,57.0,3128
20254,0.71,Ideal,G,VS2,5.71,5.63,3.52,62.1,57.0,2587
20255,1.21,Premium,E,SI2,7.07,6.91,4.11,58.8,58.0,6065
20256,0.4,Very Good,H,VS2,4.81,4.84,2.85,59.1,61.0,737
20257,0.31,Good,D,SI2,4.35,4.32,2.76,63.7,55.0,593
20258,0.3,Premium,E,VS2,4.25,4.21,2.65,62.6,62.0,788
20259,1.02,Premium,G,VS2,6.44,6.36,4.01,62.7,58.0,5506
20260,0.33,Ideal,F,VVS2,4.43,4.41,2.76,62.4,56.0,1067
20261,1.14,Ideal,G,VVS1,6.74,6.77,4.13,61.1,58.0,10933
20262,1.32,Very Good,F,VVS2,6.97,7.02,4.31,61.6,61.0,12736
20263,1.07,Premium,F,SI2,6.68,6.62,4.01,60.3,58.0,4700
20264,0.31,Ideal,D,VS2,4.41,4.37,2.7,61.5,56.0,942
20265,0.3,Ideal,D,SI2,4.31,4.33,2.64,61.1,58.0,413
20266,1.09,Very Good,D,SI2,6.67,6.71,3.96,59.2,63.0,4244
20267,1.5,Very Good,H,SI1,7.29,7.26,4.54,62.4,58.0,9237
20268,1.02,Ideal,E,SI2,6.44,6.38,4.03,62.9,57.0,4798
20269,0.55,Very Good,E,VS2,5.38,5.46,3.15,58.1,62.0,1589
20270,0.9,Very Good,I,VS1,6.13,6.18,3.83,62.2,58.0,3644
20271,0.32,Premium,E,SI2,4.45,4.43,2.65,59.7,60.0,576
20272,0.4,Ideal,D,VVS2,4.71,4.74,2.93,62.0,56.0,1263
20273,0.33,Ideal,G,VVS1,4.47,4.49,2.73,60.9,56.7,806
20274,1.59,Very Good,I,SI2,7.51,7.56,4.64,61.6,57.0,7835
20275,0.36,Ideal,F,VS2,4.61,4.64,2.82,61.0,56.0,759
20276,1.53,Premium,J,VS1,7.51,7.47,4.5,60.1,59.0,8205
20277,1.01,Ideal,H,VS1,6.48,6.43,3.97,61.5,56.0,4779
20278,1.39,Ideal,I,VVS2,7.21,7.22,4.44,61.6,53.0,8271
20279,0.58,Very Good,F,VS1,5.33,5.34,3.33,62.4,55.0,2046
20280,0.23,Premium,E,VVS1,4.04,4.02,2.36,58.6,61.0,680
20281,1.01,Good,J,VS1,6.48,6.44,3.9,60.4,64.0,4129
20282,0.53,Ideal,F,SI1,5.19,5.21,3.22,61.9,55.0,1360
20283,1.07,Ideal,F,SI1,6.51,6.53,4.06,62.3,56.0,6200
20284,0.42,Premium,G,VS1,4.81,4.84,2.94,60.9,58.0,921
20285,0.72,Ideal,I,VS1,5.78,5.81,3.51,60.7,57.0,2539
20286,0.34,Very Good,D,SI1,4.46,4.44,2.81,63.1,57.0,803
20287,0.23,Very Good,E,VVS1,3.95,3.98,2.47,62.4,54.0,583
20288,0.71,Very Good,G,VS2,5.67,5.74,3.61,63.3,56.0,2549
20289,1.6,Ideal,F,VS2,7.6,7.66,4.59,60.2,55.5,16240
20290,0.52,Ideal,D,VS2,5.16,5.13,3.2,62.2,56.0,1919
20291,1.02,Ideal,G,SI2,6.39,6.35,3.97,62.3,56.0,3204
20292,0.34,Fair,E,VVS1,4.8,4.76,2.58,54.0,56.0,1012
20293,2.14,Very Good,J,VS2,8.27,8.16,5.16,62.8,57.0,14065
20294,1.53,Ideal,G,VS1,7.42,7.52,4.51,60.5,57.0,16311
20295,1.71,Very Good,H,VS2,7.8,7.85,4.6,58.8,60.0,12493
20296,0.35,Ideal,E,VVS1,4.53,4.57,2.76,60.7,57.0,1044
20297,0.76,Ideal,I,VS2,5.87,5.9,3.63,61.7,56.0,3075
20298,1.52,Premium,H,VS2,7.45,7.38,4.52,61.0,61.0,8001
20299,0.8,Very Good,H,SI2,5.83,5.91,3.68,62.7,56.0,2481
20300,0.33,Ideal,F,VVS2,4.43,4.46,2.73,61.4,57.0,824
20301,0.64,Ideal,H,IF,5.58,5.62,3.39,60.5,57.0,2420
20302,1.05,Very Good,E,VS2,6.51,6.46,4.12,63.5,57.0,6586
20303,1.2,Premium,E,VVS2,6.76,6.7,4.18,62.1,58.0,11301
20304,0.58,Ideal,H,VS1,5.33,5.36,3.33,62.3,57.0,1764
20305,0.3,Ideal,D,VS2,4.3,4.32,2.69,62.3,53.9,762
20306,0.71,Very Good,H,VS2,5.7,5.73,3.52,61.6,60.0,2495
20307,0.56,Very Good,D,VVS1,5.27,5.31,3.27,61.8,55.0,2866
20308,2.02,Ideal,I,VS1,8.02,8.06,5.01,62.3,59.0,17936
20309,0.56,Very Good,E,VS2,5.25,5.31,3.27,61.9,55.0,1819
20310,0.5,Very Good,F,SI2,5.02,5.06,3.17,62.9,57.0,1020
20311,0.71,Very Good,F,VVS2,5.65,5.7,3.61,63.6,56.0,3332
20312,2.1,Premium,H,SI2,8.28,8.33,5.02,60.4,59.0,16479
20313,1.54,Very Good,F,VS1,7.34,7.3,4.63,63.3,58.0,16082
20314,0.3,Good,G,VS2,4.42,4.37,2.57,58.5,64.0,648
20315,0.9,Premium,H,VS2,6.24,6.27,3.78,60.4,59.0,4321
20316,0.9,Very Good,D,SI1,6.13,6.04,3.8,62.4,63.0,3812
20317,0.53,Ideal,G,VVS2,5.17,5.2,3.18,61.4,57.0,2250
20318,0.24,Very Good,F,VS2,4.08,4.11,2.44,59.6,58.0,419
20319,0.67,Good,J,VS1,5.54,5.57,3.57,64.2,55.6,1581
20320,0.72,Very Good,E,SI1,5.92,5.96,3.44,57.9,58.0,2610
20321,1.23,Ideal,D,SI1,7.01,6.96,4.25,60.9,54.0,6557
20322,0.44,Ideal,G,VVS1,4.89,4.91,3.04,62.0,54.0,1160
20323,0.32,Ideal,F,VVS1,4.46,4.48,2.71,60.6,56.0,867
20324,0.28,Ideal,E,VVS2,4.21,4.25,2.55,60.3,57.0,646
20325,0.91,Very Good,H,SI1,6.16,6.22,3.85,62.2,60.0,3734
20326,0.41,Very Good,I,VVS1,4.78,4.82,2.97,61.9,57.0,863
20327,0.9,Very Good,E,SI2,6.02,6.0,3.81,63.4,62.0,3084
20328,0.33,Very Good,I,VVS1,4.43,4.45,2.74,61.7,61.0,608
20329,0.71,Very Good,I,VS2,5.72,5.8,3.48,60.4,60.0,2185
20330,0.51,Very Good,G,VS1,5.21,5.22,3.11,59.6,58.0,1741
20331,0.61,Very Good,J,SI1,5.46,5.49,3.33,60.8,58.0,1149
20332,0.79,Very Good,E,SI1,5.91,5.86,3.72,63.2,56.0,2794
20333,0.41,Good,H,VS2,4.77,4.66,2.99,63.4,58.0,755
20334,1.71,Ideal,H,VS2,7.64,7.68,4.78,62.4,58.0,13190
20335,0.41,Premium,G,SI1,4.74,4.7,2.96,62.7,58.0,923
20336,1.51,Good,D,SI1,7.1,7.25,4.56,63.6,61.0,11212
20337,1.23,Ideal,H,SI2,6.95,6.94,4.26,61.4,54.0,5641
20338,0.9,Very Good,D,SI1,6.15,6.21,3.8,61.5,58.0,4381
20339,0.3,Ideal,G,IF,4.32,4.34,2.7,62.4,55.0,863
20340,0.52,Good,D,SI2,5.17,5.21,3.21,61.8,58.0,1138
20341,0.32,Very Good,D,SI1,4.39,4.36,2.77,63.3,57.0,756
20342,1.26,Premium,I,SI1,6.99,6.94,4.24,60.9,58.0,5504
20343,1.03,Ideal,G,VVS1,6.56,6.63,3.95,59.9,61.0,8955
